IssueID,ProjectName,Politeness,FixingTime_hours,Assignee,AssigneeAct,Project
226357,Hadoop Common,mixed,71.1675,8532,VHIGH,HADOOP
226350,Hadoop Common,impolite,284.0946,8527,VHIGH,HADOOP
226351,Hadoop Common,impolite,461.2015,21571,HIGH,HADOOP
226352,Hadoop Common,mixed,318.0112,8066,HIGH,HADOOP
226387,Hadoop Common,mixed,20485.6331,30802,STD,HADOOP
226388,Hadoop Common,mixed,350.9744,8552,VHIGH,HADOOP
226389,Hadoop Common,impolite,982.8972,21571,HIGH,HADOOP
192434,Hive,mixed,6416.6245,32642,HIGH,HIVE
226383,Hadoop Common,mixed,920.8893,8527,VHIGH,HADOOP
226384,Hadoop Common,polite,1032.6183,8112,HIGH,HADOOP
226385,Hadoop Common,polite,155.2803,8066,HIGH,HADOOP
192438,Hive,impolite,41.0752,8381,HIGH,HIVE
226386,Hadoop Common,mixed,130.5401,8805,HIGH,HADOOP
226381,Hadoop Common,polite,1033.5327,8112,HIGH,HADOOP
192443,Hive,mixed,1180.3701,32642,HIGH,HIVE
226378,Hadoop Common,impolite,1153.6809,36312,HIGH,HADOOP
226372,Hadoop Common,mixed,667.9452,36067,HIGH,HADOOP
192447,Hive,impolite,57.8154,32618,STD,HIVE
226373,Hadoop Common,mixed,1127.7645,8063,HIGH,HADOOP
226374,Hadoop Common,polite,3.1581,8532,VHIGH,HADOOP
192449,Hive,polite,4538.4448,22091,HIGH,HIVE
226371,Hadoop Common,mixed,1951.5677,8471,HIGH,HADOOP
192441,Hive,mixed,1000.6802,25343,STD,HIVE
192411,Hive,impolite,436.2363,45033,STD,HIVE
192415,Hive,mixed,1095.6914,32642,HIGH,HIVE
192416,Hive,mixed,355.69,45084,STD,HIVE
226398,Hadoop Common,impolite,1223.1882,8112,HIGH,HADOOP
226399,Hadoop Common,mixed,56.6512,8112,HIGH,HADOOP
192424,Hive,impolite,369.3196,45080,STD,HIVE
226394,Hadoop Common,impolite,1158.7577,8112,HIGH,HADOOP
192425,Hive,impolite,897.1273,45032,STD,HIVE
226395,Hadoop Common,mixed,455.7768,36200,HIGH,HADOOP
226396,Hadoop Common,mixed,1013.3677,36312,HIGH,HADOOP
192427,Hive,impolite,144.7062,45060,STD,HIVE
226390,Hadoop Common,impolite,626.9426,21571,HIGH,HADOOP
226391,Hadoop Common,mixed,628.0071,21571,HIGH,HADOOP
226393,Hadoop Common,mixed,1176.6448,21571,HIGH,HADOOP
4100,Hibernate ORM,impolite,7.2476,579,VHIGH,HHH
4110,Hibernate ORM,impolite,98.4048,120,VHIGH,HHH
4112,Hibernate ORM,impolite,5144.6378,0,null,HHH
334199,Cassandra,mixed,12.1345,21309,VHIGH,CASSANDRA
334196,Cassandra,mixed,1684.2151,0,null,CASSANDRA
4104,Hibernate ORM,mixed,24.7543,100,VHIGH,HHH
334190,Cassandra,polite,158.7475,21895,VHIGH,CASSANDRA
334191,Cassandra,impolite,524.6606,21895,VHIGH,CASSANDRA
4120,Hibernate ORM,polite,1055.8982,100,VHIGH,HHH
4122,Hibernate ORM,impolite,3205.0262,0,null,HHH
334187,Cassandra,impolite,3048.3845,58348,VHIGH,CASSANDRA
334186,Cassandra,mixed,490.4724,7992,VHIGH,CASSANDRA
334184,Cassandra,impolite,84.5205,21449,VHIGH,CASSANDRA
4115,Hibernate ORM,impolite,733.8893,0,null,HHH
334182,Cassandra,impolite,115.8474,21895,VHIGH,CASSANDRA
4116,Hibernate ORM,polite,7421.7089,0,null,HHH
334180,Cassandra,impolite,0.1523,0,null,CASSANDRA
4119,Hibernate ORM,polite,7388.1118,57,VHIGH,HHH
4131,Hibernate ORM,polite,1586.5404,100,VHIGH,HHH
4134,Hibernate ORM,impolite,266.4233,100,VHIGH,HHH
4135,Hibernate ORM,impolite,14.718,57,VHIGH,HHH
334169,Cassandra,impolite,3.401,7992,VHIGH,CASSANDRA
334179,Cassandra,polite,0.4131,21621,HIGH,CASSANDRA
334176,Cassandra,mixed,12555.7046,0,null,CASSANDRA
334177,Cassandra,mixed,70.3817,21895,VHIGH,CASSANDRA
334174,Cassandra,impolite,0.198,21659,VHIGH,CASSANDRA
334172,Cassandra,mixed,2421.627,0,null,CASSANDRA
334173,Cassandra,polite,305.9906,17215,VHIGH,CASSANDRA
4125,Hibernate ORM,mixed,171.1068,100,VHIGH,HHH
334170,Cassandra,impolite,30.989,39117,HIGH,CASSANDRA
334171,Cassandra,impolite,1021.874,39117,HIGH,CASSANDRA
4143,Hibernate ORM,mixed,0.1057,0,null,HHH
4144,Hibernate ORM,impolite,23.5071,57,VHIGH,HHH
4146,Hibernate ORM,impolite,7782.9913,100,VHIGH,HHH
334161,Cassandra,impolite,1201.7942,0,null,CASSANDRA
334162,Cassandra,mixed,350.5531,17215,VHIGH,CASSANDRA
4139,Hibernate ORM,polite,1997.96,100,VHIGH,HHH
4153,Hibernate ORM,impolite,6317.0404,837,VHIGH,HHH
4157,Hibernate ORM,polite,5272.5015,100,VHIGH,HHH
334147,Cassandra,polite,99.3838,59026,STD,CASSANDRA
334148,Cassandra,mixed,85.1014,21449,VHIGH,CASSANDRA
334156,Cassandra,impolite,1856.0614,21659,VHIGH,CASSANDRA
192499,Hive,mixed,2150.7871,0,null,HIVE
334155,Cassandra,polite,1855.8852,21659,VHIGH,CASSANDRA
334150,Cassandra,impolite,3005.1255,21659,VHIGH,CASSANDRA
334151,Cassandra,mixed,5016.8718,17215,VHIGH,CASSANDRA
192493,Hive,mixed,299.7201,44970,HIGH,HIVE
4163,Hibernate ORM,polite,838.6185,100,VHIGH,HHH
334136,Cassandra,polite,140.9762,7992,VHIGH,CASSANDRA
4160,Hibernate ORM,polite,189.5865,837,VHIGH,HHH
334137,Cassandra,impolite,90.9182,59026,STD,CASSANDRA
334145,Cassandra,mixed,331.8696,21895,VHIGH,CASSANDRA
334146,Cassandra,polite,1687.3769,17215,VHIGH,CASSANDRA
334143,Cassandra,mixed,6618.9877,17215,VHIGH,CASSANDRA
334141,Cassandra,impolite,68.9703,21449,VHIGH,CASSANDRA
334142,Cassandra,mixed,1748.5172,21659,VHIGH,CASSANDRA
334140,Cassandra,impolite,46.4847,21309,VHIGH,CASSANDRA
4159,Hibernate ORM,mixed,0.291,0,null,HHH
4173,Hibernate ORM,polite,24.6335,100,VHIGH,HHH
4176,Hibernate ORM,mixed,72.2668,837,VHIGH,HHH
